"title","category","location","description","keywords","start_date","start_time","end_date","end_time","alarm","recur_type","recur_end_date","recur_interval","recur_data"
"MACS2-TUT","StundenplanTW","WEBINAR13","Stundenplan
MACS2
RieplMa
BIC-2  
WEBINAR13","Stundenplan","24.04.2021","12:05:00","24.04.2021","13:35:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
ZeitlhTh
BIC-2D2
WEBINAR54","Stundenplan","26.04.2021","17:50:00","26.04.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","26.04.2021","19:30:00","26.04.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","27.04.2021","17:50:00","27.04.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","27.04.2021","19:30:00","27.04.2021","21:00:00",,,,,
"ENG2-UE","StundenplanTW","WEBINAR54","Stundenplan
ENG2
MitterUt
BIC-2D 
WEBINAR54","Stundenplan","28.04.2021","17:50:00","28.04.2021","21:00:00",,,,,
"SYSP-TUT","StundenplanTW","WEBINAR32","Stundenplan
SYSP
WenninJo
BIC-2  
WEBINAR32","Stundenplan","29.04.2021","17:50:00","29.04.2021","19:20:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
ZeitlhTh
BIC-2D2
WEBINAR54","Stundenplan","03.05.2021","17:50:00","03.05.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","03.05.2021","19:30:00","03.05.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","04.05.2021","17:50:00","04.05.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","04.05.2021","19:30:00","04.05.2021","21:00:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","05.05.2021","17:50:00","05.05.2021","21:00:00",,,,,
"SYSP-TUT","StundenplanTW","WEBINAR34","Stundenplan
SYSP
WenninJo
BIC-2  
WEBINAR34","Stundenplan","06.05.2021","17:50:00","06.05.2021","21:00:00",,,,,
"MACS2-TUT","StundenplanTW","WEBINAR40","Stundenplan
MACS2
RieplMa
BIC-2  
WEBINAR40","Stundenplan","07.05.2021","16:55:00","07.05.2021","18:35:00",,,,,
"OOP-ILV","StundenplanTW","WEBINAR54","Stundenplan
OOP
PezeroEd
BIC-2D2
WEBINAR54","Stundenplan","10.05.2021","17:50:00","10.05.2021","21:00:00",,,,,
"MACS2-TUT","StundenplanTW","WEBINAR32","Stundenplan
MACS2
RieplMa
BIC-2  
WEBINAR32","Stundenplan","11.05.2021","14:30:00","11.05.2021","16:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","11.05.2021","17:50:00","11.05.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","11.05.2021","19:30:00","11.05.2021","21:00:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","12.05.2021","17:50:00","12.05.2021","21:00:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
KopicaFr
BIC-2D2
WEBINAR54","Stundenplan","17.05.2021","17:50:00","17.05.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","17.05.2021","19:30:00","17.05.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","18.05.2021","17:50:00","18.05.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","18.05.2021","19:30:00","18.05.2021","21:00:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","19.05.2021","17:50:00","19.05.2021","21:00:00",,,,,
"SYSP-TUT","StundenplanTW","WEBINAR44","Stundenplan
SYSP
WenninJo
BIC-2  
WEBINAR44","Stundenplan","20.05.2021","17:50:00","20.05.2021","19:20:00",,,,,
"MACS2-TUT","StundenplanTW","WEBINAR15","Stundenplan
MACS2
RieplMa
BIC-2  
WEBINAR15","Stundenplan","21.05.2021","16:55:00","21.05.2021","18:35:00",,,,,
"MACS2-TUT","StundenplanTW","WEBINAR16","Stundenplan
MACS2
RieplMa
BIC-2  
WEBINAR16","Stundenplan","22.05.2021","10:25:00","22.05.2021","12:05:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","25.05.2021","17:50:00","25.05.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","25.05.2021","19:30:00","25.05.2021","21:00:00",,,,,
"SYSP-TUT","StundenplanTW","WEBINAR44","Stundenplan
SYSP
WenninJo
BIC-2  
WEBINAR44","Stundenplan","27.05.2021","17:50:00","27.05.2021","19:20:00",,,,,
"MACS2-TUT","StundenplanTW","WEBINAR17","Stundenplan
MACS2
RieplMa
BIC-2  
WEBINAR17","Stundenplan","28.05.2021","16:55:00","28.05.2021","18:35:00",,,,,
"MACS2-TUT","StundenplanTW","WEBINAR24","Stundenplan
MACS2
RieplMa
BIC-2  
WEBINAR24","Stundenplan","29.05.2021","10:25:00","29.05.2021","12:05:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
KopicaFr
BIC-2D2
WEBINAR54","Stundenplan","31.05.2021","17:50:00","31.05.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","31.05.2021","19:30:00","31.05.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","01.06.2021","17:50:00","01.06.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","01.06.2021","19:30:00","01.06.2021","21:00:00",,,,,
"ENG2-UE","StundenplanTW","WEBINAR54","Stundenplan
ENG2
MitterUt
BIC-2D 
WEBINAR54","Stundenplan","02.06.2021","17:50:00","02.06.2021","21:00:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
KopicaFr
BIC-2D2
WEBINAR54","Stundenplan","07.06.2021","17:50:00","07.06.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","07.06.2021","19:30:00","07.06.2021","21:00:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","08.06.2021","19:30:00","08.06.2021","21:00:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","09.06.2021","17:50:00","09.06.2021","21:00:00",,,,,
"SYSP-TUT","StundenplanTW","WEBINAR44","Stundenplan
SYSP
WenninJo
BIC-2  
WEBINAR44","Stundenplan","10.06.2021","17:50:00","10.06.2021","19:20:00",,,,,
"SYSP-TUT","StundenplanTW","WEBINAR18","Stundenplan
SYSP
WenninJo
BIC-2  
WEBINAR18","Stundenplan","11.06.2021","15:15:00","11.06.2021","16:55:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
ZeitlhTh
BIC-2D2
WEBINAR54","Stundenplan","14.06.2021","17:50:00","14.06.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","14.06.2021","19:30:00","14.06.2021","21:00:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","15.06.2021","17:50:00","15.06.2021","21:00:00",,,,,
"SYSP-TUT","StundenplanTW","WEBINAR27","Stundenplan
SYSP
WenninJo
BIC-2  
WEBINAR27","Stundenplan","18.06.2021","15:15:00","18.06.2021","16:55:00",,,,,
"OOP-ILV","StundenplanTW","WEBINAR54","Stundenplan
OOP
PezeroEd
BIC-2D2
WEBINAR54","Stundenplan","21.06.2021","17:50:00","21.06.2021","21:00:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","22.06.2021","17:50:00","22.06.2021","21:00:00",,,,,
"ENG2-UE","StundenplanTW","WEBINAR54","Stundenplan
ENG2
MitterUt
BIC-2D 
WEBINAR54","Stundenplan","23.06.2021","17:50:00","23.06.2021","21:00:00",,,,,
"SYSP-TUT","StundenplanTW","WEBINAR44","Stundenplan
SYSP
WenninJo
BIC-2  
WEBINAR44","Stundenplan","24.06.2021","17:50:00","24.06.2021","19:20:00",,,,,
"SYSP-TUT","StundenplanTW","WEBINAR42","Stundenplan
SYSP
WenninJo
BIC-2  
WEBINAR42","Stundenplan","25.06.2021","15:15:00","25.06.2021","16:55:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
ZeitlhTh
BIC-2D2
WEBINAR54","Stundenplan","28.06.2021","17:50:00","28.06.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","28.06.2021","19:30:00","28.06.2021","21:00:00",,,,,
"SYSP-LAB","StundenplanTW","HS_F2.01","Stundenplan
SYSP
TrausmRo
BIC-2D 
HS_F2.01","Stundenplan","30.06.2021","17:50:00","30.06.2021","19:20:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
ZeitlhTh
BIC-2D2
WEBINAR54","Stundenplan","05.07.2021","17:50:00","05.07.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","05.07.2021","19:30:00","05.07.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR11","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR11","Stundenplan","06.07.2021","17:50:00","06.07.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","12.07.2021","19:30:00","12.07.2021","21:00:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR17","Stundenplan
TK
KopicaFr
BIC-2D2
WEBINAR17","Stundenplan","15.07.2021","17:50:00","15.07.2021","18:35:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR18","Stundenplan
TK
ZeitlhTh
BIC-2D2
WEBINAR18","Stundenplan","15.07.2021","18:35:00","15.07.2021","19:20:00",,,,,
